"Name","pass_at_1","median_execution_time_s","avg_generation_latency_s","peak_cuda_memory_mb","State","Notes","User","Tags","Created","Runtime","Sweep","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","activation_offloading","adam_beta1","adam_beta2","adam_epsilon","architectures","assistant_only_loss","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","dataset_text_field","ddp_timeout","debug","disable_tqdm","do_eval","do_predict","do_train","dtype","enable_jit_checkpoint","eos_token","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","group_by_length","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","layer_types","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","loss_type","lr_scheduler_type","max_grad_norm","max_length","max_position_embeddings","max_steps","max_window_layers","model/num_parameters","model_type","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","packing","packing_strategy","pad_token","pad_token_id","padding_free","peft_config.default.base_model_name_or_path","peft_config.default.bias","peft_config.default.ensure_weight_tying","peft_config.default.fan_in_fan_out","peft_config.default.inference_mode","peft_config.default.init_lora_weights","peft_config.default.lora_alpha","peft_config.default.lora_bias","peft_config.default.lora_dropout","peft_config.default.megatron_core","peft_config.default.peft_type","peft_config.default.peft_version","peft_config.default.qalora_group_size","peft_config.default.r","peft_config.default.runtime_config.ephemeral_gpu_offload","peft_config.default.target_modules","peft_config.default.use_dora","peft_config.default.use_qalora","peft_config.default.use_rslora","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","project","push_to_hub","quantization_config._load_in_4bit","quantization_config._load_in_8bit","quantization_config.bnb_4bit_compute_dtype","quantization_config.bnb_4bit_quant_storage","quantization_config.bnb_4bit_quant_type","quantization_config.bnb_4bit_use_double_quant","quantization_config.llm_int8_enable_fp32_cpu_offload","quantization_config.llm_int8_has_fp16_weight","quantization_config.llm_int8_threshold","quantization_config.load_in_4bit","quantization_config.load_in_8bit","quantization_config.quant_method","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.rope_theta","rope_parameters.rope_type","run_name","save_on_each_node","save_only_model","save_steps","save_strategy","seed","shuffle_dataset","skip_memory_metrics","tie_word_embeddings","torch_compile","trackio_space_id","transformers_version","truncation_mode","use_cache","use_cpu","use_liger_kernel","use_sliding_window","vocab_size","warmup_ratio","warmup_steps","weight_decay","model_path","num_candidates","num_problems","temperature","total_flos","train/entropy","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train/mean_token_accuracy","train/num_tokens","train_loss","train_runtime","train_samples_per_second","train_steps_per_second","problems_with_passing"
"base_slm_profiled","0.3656","0.0000885174999893934","1.4390176389799998","6691.47802734375","finished","-","","","2026-04-20T18:57:05.000Z","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Qwen/Qwen2.5-Coder-1.5B-Instruct","5","1000","0.2","","","","","","","","","","","","","","472"
"runtime_aware_sft_profiled","0.6956","0.00008870200008459506","1.1730839266460005","6691.47802734375","finished","-","","","2026-04-20T18:32:05.000Z","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/content/drive/MyDrive/efficient-codegen/checkpoints/runtime_aware_full","5","1000","0.2","","","","","","","","","","","","","","741"
"control_sft_profiled","0.7072","0.00009052900031747412","1.1273741004459998","6691.47802734375","finished","-","","","2026-04-20T18:03:16.000Z","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/content/drive/MyDrive/efficient-codegen/checkpoints/control_full","5","1000","0.2","","","","","","","","","","","","","","751"
